Timestamp,CPU %,Cores Used
1680420160.5520241,18.2,8
1680420162.557624,20.0,8
1680420164.5624409,18.9,8
1680420166.568039,17.6,8
1680420168.573457,21.6,8
1680420170.574132,21.7,8
1680420172.579775,18.9,8
1680420174.5826602,18.5,8
1680420176.588266,18.3,8
1680420178.593837,17.8,8
1680420180.5994508,19.0,8
1680420182.6050508,18.3,8
1680420184.610433,19.4,8
1680420186.6153212,17.6,8
1680420188.6209269,18.9,8
1680420190.623146,16.0,8
1680420192.6252842,15.2,8
1680420194.627552,51.9,8
1680420196.6285,46.1,8
1680420198.634441,53.9,8
1680420200.638714,37.6,8
1680420202.6443799,18.6,8
1680420204.650005,19.7,8
1680420206.655649,20.4,8
1680420208.661505,20.4,8
1680420210.667205,25.6,8
1680420212.673236,18.9,8
1680420214.675793,21.5,8
1680420216.681292,16.2,8
1680420218.6827672,15.9,8
1680420220.683794,15.3,8
1680420222.687155,30.4,8
1680420224.691199,57.7,8
1680420226.697282,50.1,8
1680420228.7018182,38.3,8
1680420230.7039318,31.9,8
1680420232.707388,31.8,8
1680420234.712993,28.2,8
1680420236.718566,16.2,8
1680420238.7209768,15.6,8
1680420240.7236679,17.3,8
1680420242.72925,17.7,8
1680420244.734856,17.6,8
1680420246.740206,22.7,8
1680420248.745455,21.9,8
1680420250.751047,18.7,8
1680420252.756792,20.3,8
1680420254.757432,27.2,8
1680420256.7630458,18.8,8
1680420258.768561,16.7,8
1680420260.7741492,15.0,8
1680420262.7753532,15.7,8
1680420264.777605,17.8,8
1680420266.780919,15.3,8
1680420268.7847722,21.6,8
1680420270.787078,17.2,8
1680420272.7892811,17.4,8
1680420274.79488,18.9,8
1680420276.799835,15.3,8
1680420278.805442,15.3,8
1680420280.806206,15.8,8
1680420282.81171,15.2,8
1680420284.817319,15.0,8
1680420286.82053,36.7,8
1680420288.826271,31.9,8
1680420290.83183,27.0,8
1680420292.8372018,17.2,8
1680420294.8429031,17.0,8
1680420296.8485062,16.5,8
1680420298.854167,16.7,8
1680420300.855526,18.1,8
1680420302.859246,14.8,8
1680420304.85986,15.7,8
1680420306.8654552,17.0,8
1680420308.871027,19.1,8
1680420310.8764029,19.9,8
1680420312.8800771,24.8,8
